id_lk;Lembaga Konservasi;Slug
1;Badan pengelola dan pengembang TMII (Taman Mini Indonesia Indah);badan_pengelola_dan_pengembang_tmii_(taman_mini_indonesia_indah)
2;BLUD Taman Margasatwa Ragunan;blud_taman_margasatwa_ragunan
3;CV. Alam Raya Pancur Aji;cv._alam_raya_pancur_aji
4;CV. Andys Antique (Taman Satwa Cikembulan);cv._andys_antique_(taman_satwa_cikembulan)
5;CV. Bali Harmoni (Bali Zoo);cv._bali_harmoni_(bali_zoo)
6;CV. Bali Shell Museum;cv._bali_shell_museum
7;CV. Barumun Nagari;cv._barumun_nagari
8;CV. Capital  Wildlife Research and Breeding Center;cv._capital__wildlife_research_and_breeding_center
9;CV. Citra Pesona Ladangku;cv._citra_pesona_ladangku
10;CV. Citra Satwa Celebes (Bontomarumu Education Park);cv._citra_satwa_celebes_(bontomarumu_education_park)
11;CV. Gunung Kekewang;cv._gunung_kekewang
12;CV. Gurun Putih Lestari;cv._gurun_putih_lestari
13;CV. Karisma (Tandu Rusa);cv._karisma_(tandu_rusa)
14;CV. Melka Satwa;cv._melka_satwa
15;CV. Mirah Fantasia;cv._mirah_fantasia
16;CV. Satwa Lestari Jaya;cv._satwa_lestari_jaya
17;CV. Sinka Island Park;cv._sinka_island_park
18;CV. Taman Rusa;cv._taman_rusa
19;Dinas Kebudayaan dan Pariwisata Bukittinggi (Taman Margasatwa dan Budaya Kinantan Bukittinggi);dinas_kebudayaan_dan_pariwisata_bukittinggi_(taman_margasatwa_dan_budaya_kinantan_bukittinggi)
20;Dinas Kebudayaan dan Pariwisata Kabupaten Banjarnegara (Taman Rekreasi dan Marga Satwa Serulingmas);dinas_kebudayaan_dan_pariwisata_kabupaten_banjarnegara_(taman_rekreasi_dan_marga_satwa_serulingmas)
21;Jakarta Aquarium Indonesia;jakarta_aquarium_indonesia
22;Kantor Kebudayaan dan Pariwisata Bengkalis (Kebun Binatang Bengkalis);kantor_kebudayaan_dan_pariwisata_bengkalis_(kebun_binatang_bengkalis)
23;Kebun Raya dan Kebun Binatang Gembira Loka;kebun_raya_dan_kebun_binatang_gembira_loka
24;Koperasi Dinas Peternakan dan Kesehatan Hewan Provinsi Jambi (Taman Rimbo Jambi);koperasi_dinas_peternakan_dan_kesehatan_hewan_provinsi_jambi_(taman_rimbo_jambi)
25;Koperasi Bina Satwa Sejahtera Wonogiri (Waduk Gajahmungkur);koperasi_bina_satwa_sejahtera_wonogiri_(waduk_gajahmungkur)
26;"Koperasi Karyawan PT. Taman Wisata Candi Borobudur, Prambanan & Ratu
Boko (Taman Satwa Borobudur)";"koperasi_karyawan_pt._taman_wisata_candi_borobudur,_prambanan_&_ratu
boko_(taman_satwa_borobudur)"
27;PD Taman Satwa Taru Jurug Surakarta (Solo Safari);pd_taman_satwa_taru_jurug_surakarta_(solo_safari)
28;PD. Obyek Wisata Umbul Madiun;pd._obyek_wisata_umbul_madiun
29;PD. Pembangunan Kota Medan (Medan Zoo);pd._pembangunan_kota_medan_(medan_zoo)
30;PDTS. Kebun Binatang Surabaya;pdts._kebun_binatang_surabaya
